Participant,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
173,CS2_Positive_CS1_Negative,-0.04926969029696092,0.75,neitherBrand,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
224,CS2_Positive_CS1_Negative,-0.2914085151950795,-2.25,Struan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,CS2_Positive_CS1_Negative,-0.18813630719028673,-2.25,neitherBrand,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
134,CS1_Positive_CS2_Negative,0.4316630545508434,4,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
214,CS1_Positive_CS2_Negative,0.017852148563223896,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
12,CS2_Positive_CS1_Negative,0.15421494710230935,1.25,Morag,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,CS1_Positive_CS2_Negative,0.7903280969149049,5.25,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
107,CS2_Positive_CS1_Negative,-0.15233779321545066,-7.25,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
140,CS2_Positive_CS1_Negative,-0.7890657085255154,-0.75,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
213,CS1_Positive_CS2_Negative,-0.4868552570716539,-4,bothMoragandStruan,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
29,CS2_Positive_CS1_Negative,0.44739550665334565,-5,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
175,CS2_Positive_CS1_Negative,-0.40696821921096593,-5.75,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
215,CS1_Positive_CS2_Negative,0.3015019426034866,4.5,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
189,CS2_Positive_CS1_Negative,0.2612999476983461,-4,bothMoragandStruan,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
202,CS2_Positive_CS1_Negative,-0.17925076133710643,-10,Idon'tknow,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
51,CS1_Positive_CS2_Negative,0.9650965594472305,4,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
232,CS1_Positive_CS2_Negative,-0.40987933945028515,0,neitherBrand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
112,CS2_Positive_CS1_Negative,-0.8009683624060968,-9,Struan,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
54,CS1_Positive_CS2_Negative,0.7827072745032859,10,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
87,CS1_Positive_CS2_Negative,0.7670734032225541,7.25,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
120,CS1_Positive_CS2_Negative,-0.497310582444115,-1.5,bothMoragandStruan,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
233,CS2_Positive_CS1_Negative,-0.2685033075586917,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
4,CS1_Positive_CS2_Negative,-0.0048177522315927535,0,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,CS1_Positive_CS2_Negative,0.6368288188399045,3.75,Morag,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,CS2_Positive_CS1_Negative,-0.8315832195435459,-5.5,Struan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,CS1_Positive_CS2_Negative,-0.5499138912637652,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,CS1_Positive_CS2_Negative,0.8027285260991257,0,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,CS1_Positive_CS2_Negative,0.3346405491677499,0,Morag,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,CS2_Positive_CS1_Negative,0.11550349935160101,-5,Struan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
131,CS1_Positive_CS2_Negative,0.3704504804834765,0,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
156,CS2_Positive_CS1_Negative,0.1794546146991648,7.5,Morag,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
163,CS1_Positive_CS2_Negative,0.20336261485744533,-7,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
164,CS1_Positive_CS2_Negative,0.7696022020374428,10,Morag,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
168,CS1_Positive_CS2_Negative,0.6919103949997254,1.5,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
172,CS2_Positive_CS1_Negative,-0.36643241868514786,-4.5,Morag,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
177,CS1_Positive_CS2_Negative,0.7733182755644963,2.75,bothMoragandStruan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
221,CS2_Positive_CS1_Negative,0.09937188750371692,0,bothMoragandStruan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,CS1_Positive_CS2_Negative,-0.010540916378503642,4.25,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28,CS2_Positive_CS1_Negative,-0.7307186131345663,0,Idon'tknow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
40,CS1_Positive_CS2_Negative,0.7087481301261909,0,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
52,CS1_Positive_CS2_Negative,-0.5714791592230302,-1,bothMoragandStruan,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
84,CS1_Positive_CS2_Negative,0.044252092334906956,0,bothMoragandStruan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
95,CS2_Positive_CS1_Negative,0.29313910831937656,0,bothMoragandStruan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
121,CS2_Positive_CS1_Negative,0.34507220704208175,7,Morag,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
