Participant,Color_Matching,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention
15,CS2_Positive_CS1_Negative,0.93,6,Morag
27,CS2_Positive_CS1_Negative,-0.94,-6.25,bothMoragandStruan
29,CS2_Positive_CS1_Negative,1.2,10,Struan
32,CS2_Positive_CS1_Negative,-0.13,0,bothMoragandStruan
37,CS1_Positive_CS2_Negative,0.83,5.25,Morag
38,CS1_Positive_CS2_Negative,0.16,0,bothMoragandStruan
41,CS2_Positive_CS1_Negative,-0.3,-7,bothMoragandStruan
42,CS2_Positive_CS1_Negative,-1.2,-7.75,neitherBrand
44,CS2_Positive_CS1_Negative,-1.15,-8,Struan
46,CS2_Positive_CS1_Negative,-0.57,-3,neitherBrand
47,CS2_Positive_CS1_Negative,-0.33,2,Morag
49,CS1_Positive_CS2_Negative,0.92,10,Morag
50,CS1_Positive_CS2_Negative,-0.33,9.75,Morag
55,CS1_Positive_CS2_Negative,0.04,2.75,Morag
56,CS1_Positive_CS2_Negative,-0.28,-4,Struan
57,CS2_Positive_CS1_Negative,0.38,0,neitherBrand
72,CS1_Positive_CS2_Negative,0.25,0,Idon'tknow
73,CS2_Positive_CS1_Negative,-0.15,0.25,Struan
74,CS2_Positive_CS1_Negative,-1.01,-10,Struan
78,CS2_Positive_CS1_Negative,-0.39,-10,Struan
88,CS1_Positive_CS2_Negative,-0.04,-3.5,Struan
89,CS2_Positive_CS1_Negative,-0.25,1.25,Struan
93,CS2_Positive_CS1_Negative,-0.18,-6.5,Struan
99,CS1_Positive_CS2_Negative,1.06,10,Morag
105,CS2_Positive_CS1_Negative,-0.61,4,Morag
107,CS2_Positive_CS1_Negative,0.44,-1,neitherBrand
110,CS2_Positive_CS1_Negative,0.65,-10,Struan
112,CS2_Positive_CS1_Negative,0.77,1.25,Morag
115,CS1_Positive_CS2_Negative,0.55,0.5,neitherBrand
117,CS1_Positive_CS2_Negative,0.15,10,Morag
124,CS2_Positive_CS1_Negative,0.24,-5.5,Struan
129,CS1_Positive_CS2_Negative,0.98,6.25,Morag
131,CS1_Positive_CS2_Negative,0.01,8,Morag
132,CS1_Positive_CS2_Negative,-0.82,0.75,bothMoragandStruan
134,CS1_Positive_CS2_Negative,0.11,7.5,bothMoragandStruan
139,CS2_Positive_CS1_Negative,-0.66,-9.25,Struan
143,CS2_Positive_CS1_Negative,0.06,-3.5,neitherBrand
150,CS1_Positive_CS2_Negative,-0.04,0,neitherBrand
152,CS1_Positive_CS2_Negative,0.87,2,bothMoragandStruan
156,CS2_Positive_CS1_Negative,0.33,2.75,Morag
158,CS2_Positive_CS1_Negative,-0.04,-2,Struan
171,CS2_Positive_CS1_Negative,0.01,0,Idon'tknow
173,CS2_Positive_CS1_Negative,-0.55,-10,Struan
175,CS2_Positive_CS1_Negative,-0.79,-7.5,Struan
177,CS1_Positive_CS2_Negative,0.64,1.75,Struan
180,CS1_Positive_CS2_Negative,0.17,-1.75,Idon'tknow
