Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Stimulus_Identity,Color_Matching,Evaluative_Measure_Order,IAT_Block_Order,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,Intentions_response,Intention_Ratings_Recoded,EXPLORATORY_QUESTIONS,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_recoded,CS_Color_CS1,CS_Color_CS2,CS_Color_Pos_US,CS_Color_Neg_US,CS_Color_CS1_recoded,CS_Color_CS2_recoded,CS_Color_Pos_US_recoded,CS_Color_Neg_US_recoded,CS_Color_Total_Score_recoded,Hypothesis_Awareness,Hypothesis_Awareness_recoded,Influence_Awareness_response,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response,Color_Training_Contingency_Memory_Blue,Color_Training_Contingency_Memory_Blue_recoded,Color_Training_Contingency_Memory_Yellow,Color_Training_Contingency_Memory_Yellow_recoded,Color_Training_Contingency_Memory_Green,Color_Training_Contingency_Memory_Green_recoded,Color_Training_Contingency_Memory_Purple,Color_Training_Contingency_Memory_Purple_recoded,Total_Contingency_Awareness_Score
10,NA,31,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.442,NA,0,0,0,0,0,2,0,0,0,0.5,-0.5,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,"Yes, I noticed this                                                                                 ",1,"No, I don't think so                                                                                ",0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
16,NA,29,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.692,NA,-5,-5,-5,-5,5,5,5,5,-5,5,-10,I would try Struan                                                                                  ,NA,NA,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,Blue                                                                                                ,Purple                                                                                              ,Green                                                                                               ,Yellow                                                                                              ,1,0,0,1,2,Yes                                                                                                 ,1,Yes                                                                                                 ,1,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,2
18,NA,26,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.252,NA,-2,-2,-2,-2,2,2,2,2,-2,2,-4,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,No                                                                                                  ,0,Not sure                                                                                            ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
22,NA,27,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.138,NA,-5,-5,-5,-5,5,5,5,5,-5,5,-10,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,Those two other words always have a positive meaning                                                ,0,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,0,0,Yes                                                                                                 ,1,no                                                                                                  ,0,Yes                                                                                                 ,No                                                                                                  ,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
28,NA,35,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.1,NA,0,2,0,2,2,0,0,0,1,0.5,0.5,I would try neither Brand                                                                           ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,I don’t remember                                                                                  ,Yellow                                                                                              ,1,1,0,1,3,Yellow is negative and Pink are positive words                                                      ,1,They were equally positive and negative                                                             ,0,No                                                                                                  ,No                                                                                                  ,Yes                                                                                                 ,Yes                                                                                                 ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,3
30,NA,26,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.525,NA,-4,-4,-4,-4,4,4,4,4,-4,4,-8,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,"Yes I did notice, Struan was presented in green which matched a positive word in purple and morag wa",1,Not the word itself being presented in a colour but the other two words influenced my feelings. Stru,0,Yes                                                                                                 ,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
33,NA,27,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.204,NA,1,-4,-1,-3,-3,-3,-5,-3,-1.75,-3.5,1.75,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,Purple                                                                                              ,0,0,0,0,0,Yes words associated with bad or good meanings                                                      ,1,No                                                                                                  ,0,Yes                                                                                                 ,I don’t know                                                                                      ,Yes                                                                                                 ,I don’t know                                                                                      ,I don’t remember                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
35,NA,40,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.464,NA,3,3,3,3,-3,-3,-3,-3,3,-3,6,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes                                                                                                 ,1,Yes                                                                                                 ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
37,NA,19,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.712,NA,-4,-4,-5,-4,5,5,4,4,-4.25,4.5,-8.75,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,I noticed that the same colours where used on each side but cant remember if it was yellow and purpl,1,Yes                                                                                                 ,1,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
38,NA,30,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.425,NA,0,0,0,1,0,0,0,0,0.25,0,0.25,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes I did notice that that the colours were the same as I had seen in the first part of the study.  ,1,"I didn't notice that the colours had a meaning at this time, aside from noticing that the yellow wor",0,No                                                                                                  ,No                                                                                                  ,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
