Participant,Age,Gender,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,color_valence_contingency_memory,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
17,24,Male    ,CS1_Positive_CS2_Negative,-0.452804989,2,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
19,31,Female  ,CS1_Positive_CS2_Negative,0.301849535,2.75,Morag,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
20,26,Female  ,CS1_Positive_CS2_Negative,-0.48087746,1.25,bothMoragandStruan,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
23,25,Female  ,CS2_Positive_CS1_Negative,-0.453521767,-3,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
25,19,Male    ,CS1_Positive_CS2_Negative,-0.002187494,0.75,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,35,Male    ,CS1_Positive_CS2_Negative,0.520146743,5,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
36,30,Female  ,CS1_Positive_CS2_Negative,0.505704424,5.75,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
48,40,Female  ,CS2_Positive_CS1_Negative,-0.261421592,-0.5,neitherBrand,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,19,Male    ,CS1_Positive_CS2_Negative,0.692130645,4,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
52,29,Female  ,CS1_Positive_CS2_Negative,-0.249655323,6,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
59,35,Male    ,CS1_Positive_CS2_Negative,1.285920369,9,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
65,32,Male    ,CS1_Positive_CS2_Negative,0.316376131,3.75,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
67,30,Female  ,CS1_Positive_CS2_Negative,0.100568103,3,bothMoragandStruan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
71,28,Male    ,CS2_Positive_CS1_Negative,-0.633589447,0,Idon'tknow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
72,37,Female  ,CS2_Positive_CS1_Negative,0.500496413,3.5,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,37,Male    ,CS1_Positive_CS2_Negative,0.392904599,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
75,34,Male    ,CS1_Positive_CS2_Negative,-0.441195852,0,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
81,22,Male    ,CS1_Positive_CS2_Negative,-0.231629299,8,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
82,32,Female  ,CS1_Positive_CS2_Negative,-0.355763728,0.25,Idon'tknow,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,38,Female  ,CS1_Positive_CS2_Negative,0.400028088,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
85,40,Female  ,CS2_Positive_CS1_Negative,0.852352473,0.25,bothMoragandStruan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,26,Female  ,CS2_Positive_CS1_Negative,-0.442771217,0,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
