Participant,Age,Gender,source_valence_condition,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,intention,us_valence_contingency_memory,CS_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
847,35,male    ,CS2_Positive_CS1_Negative,0.65469819,0,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
773,20,male    ,CS2_Positive_CS1_Negative,-0.774536566,-10,Struan,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
166,21,male    ,CS2_Positive_CS1_Negative,-0.481789353,-2.25,Struan,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
268,23,male    ,CS1_Positive_CS2_Negative,0.504985563,5,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
346,24,other   ,CS1_Positive_CS2_Negative,-0.283255929,9.75,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
420,18,male    ,CS1_Positive_CS2_Negative,0.589645736,2.5,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
479,23,female  ,CS2_Positive_CS1_Negative,-0.081913185,-5,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
506,20,female  ,CS1_Positive_CS2_Negative,-0.72842601,7.75,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
678,35,male    ,CS2_Positive_CS1_Negative,-0.049942073,-10,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
704,20,female  ,CS2_Positive_CS1_Negative,-0.123609174,-5,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
179,22,male    ,CS1_Positive_CS2_Negative,0.653692345,0.5,Morag,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,32,female  ,CS1_Positive_CS2_Negative,0.178840963,0,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
119,32,male    ,CS2_Positive_CS1_Negative,0.567334582,-6,Struan,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
226,29,male    ,CS1_Positive_CS2_Negative,-0.001675698,6,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
259,45,female  ,CS1_Positive_CS2_Negative,0.352441459,0,neitherBrand,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
303,18,male    ,CS2_Positive_CS1_Negative,-0.186893041,5.25,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
312,33,male    ,CS2_Positive_CS1_Negative,-0.095575715,-6,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
365,22,female  ,CS2_Positive_CS1_Negative,-0.4224663,-9.5,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
384,20,male    ,CS2_Positive_CS1_Negative,0.600914969,-1,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
406,22,female  ,CS2_Positive_CS1_Negative,-0.166788038,0,neitherBrand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
463,34,female  ,CS2_Positive_CS1_Negative,1.113913645,-7,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
517,18,male    ,CS2_Positive_CS1_Negative,-0.007418576,0,Morag,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
549,18,female  ,CS2_Positive_CS1_Negative,-0.562530618,-6.75,Struan,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
560,19,female  ,CS2_Positive_CS1_Negative,0.125300953,2,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
580,21,female  ,CS1_Positive_CS2_Negative,-0.527259234,0,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
680,26,female  ,CS2_Positive_CS1_Negative,-0.103727806,-1,neitherBrand,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
763,24,female  ,CS1_Positive_CS2_Negative,1.10191993,6.75,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
897,34,female  ,CS1_Positive_CS2_Negative,0.428954907,9.75,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
908,19,male    ,CS1_Positive_CS2_Negative,-0.448576452,-4,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
923,27,female  ,CS1_Positive_CS2_Negative,0.571907597,6.5,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
935,29,male    ,CS2_Positive_CS1_Negative,0.749112603,0,Morag,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
937,21,male    ,CS1_Positive_CS2_Negative,1.090522105,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
949,31,male    ,CS2_Positive_CS1_Negative,-0.586118549,-10,Struan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
972,26,female  ,CS1_Positive_CS2_Negative,0.352682478,0.5,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
54,20,female  ,CS2_Positive_CS1_Negative,-0.958155643,-2.25,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
163,19,female  ,CS1_Positive_CS2_Negative,0.364321243,3.25,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
234,39,male    ,CS1_Positive_CS2_Negative,0.602713417,6.75,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
371,22,male    ,CS1_Positive_CS2_Negative,0.711083192,2.75,Morag,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
601,30,male    ,CS1_Positive_CS2_Negative,0.519141177,0,neitherBrand,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
762,34,male    ,CS1_Positive_CS2_Negative,0.708511627,7.25,Morag,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
991,32,male    ,CS2_Positive_CS1_Negative,-0.326314137,-2.75,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
228,30,male    ,CS1_Positive_CS2_Negative,1.0300998,0,neitherBrand,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
141,19,male    ,CS2_Positive_CS1_Negative,-0.538983388,-10,Struan,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
322,32,female  ,CS1_Positive_CS2_Negative,0.7952019,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
487,21,female  ,CS2_Positive_CS1_Negative,-0.373093448,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
6,32,female  ,CS2_Positive_CS1_Negative,-0.558539023,-10,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,32,female  ,CS1_Positive_CS2_Negative,1.062175466,5,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
12,19,male    ,CS1_Positive_CS2_Negative,0.342821936,0,neitherBrand,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19,21,female  ,CS1_Positive_CS2_Negative,0.608825738,0.25,Morag,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
26,31,male    ,CS1_Positive_CS2_Negative,-0.60077718,0,neitherBrand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
35,21,female  ,CS1_Positive_CS2_Negative,0.690232939,2,Morag,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
40,30,male    ,CS2_Positive_CS1_Negative,-0.745031097,-6.75,neitherBrand,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
49,24,male    ,CS1_Positive_CS2_Negative,0.740248274,10,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
60,22,female  ,CS1_Positive_CS2_Negative,-0.991799385,-5.25,Struan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,36,male    ,CS1_Positive_CS2_Negative,0.149593984,0,Morag,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
84,33,female  ,CS1_Positive_CS2_Negative,0.427176938,9.5,Morag,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
101,34,female  ,CS2_Positive_CS1_Negative,-0.07406815,-7.5,Struan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
107,31,male    ,CS1_Positive_CS2_Negative,1.409504217,0,neitherBrand,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
115,23,male    ,CS1_Positive_CS2_Negative,0.211938406,-0.75,neitherBrand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
133,20,female  ,CS2_Positive_CS1_Negative,0.541709788,-1.75,Struan,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
136,26,male    ,CS2_Positive_CS1_Negative,-0.593132025,-1.75,neitherBrand,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
137,30,female  ,CS1_Positive_CS2_Negative,0.672377144,10,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
140,23,male    ,CS1_Positive_CS2_Negative,-0.373469486,10,Morag,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
