Participant,Bag_Matching,IAT_Score,EC_Effect_CS1_CS2_Difference_Score,US_contingency_memory,hypothesis_awareness,influence_awareness,reactance_IAT,reactance_self_reports,demand_IAT,demand_self_reports
894,Shared_Feature_Bag_Location_Condition_1,-0.405557843,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
916,Shared_Feature_Bag_Location_Condition_1,0.766350006,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
4,Shared_Feature_Bag_Location_Condition_1,0.927575544,8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5,Shared_Feature_Bag_Location_Condition_1,0.283666099,8.25,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
10,No_Shared_Feature_Condition_2,0.044198612,-2.75,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
22,Shared_Feature_Bag_Random_Condition_3,0.079671243,3.75,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
30,Shared_Feature_Bag_Location_Condition_1,-0.030130635,5.25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
31,Shared_Feature_Bag_Location_Condition_1,-0.09610692,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,No_Shared_Feature_Condition_2,0.097465007,-4.75,TRUE,TRUE,NA,FALSE,FALSE,FALSE,TRUE
43,Shared_Feature_Bag_Random_Condition_3,0.231664018,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
52,Shared_Feature_Bag_Location_Condition_1,0.736245919,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
53,Shared_Feature_Bag_Location_Condition_1,-0.487858038,3.25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
57,No_Shared_Feature_Condition_2,-0.895848379,-1,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
58,No_Shared_Feature_Condition_2,-0.18130258,0.5,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE
78,Shared_Feature_Bag_Location_Condition_1,0.643478025,8.75,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
82,No_Shared_Feature_Condition_2,-0.078017635,-2,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
89,Shared_Feature_Bag_Random_Condition_3,-0.281045553,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
91,Shared_Feature_Bag_Random_Condition_3,0.719757515,2.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
97,Shared_Feature_Bag_Location_Condition_1,0.405906145,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
101,Shared_Feature_Bag_Location_Condition_1,0.545235106,-1.75,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
102,Shared_Feature_Bag_Location_Condition_1,0.293244692,1.25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
113,Shared_Feature_Bag_Random_Condition_3,0.620795172,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
132,No_Shared_Feature_Condition_2,-0.530614095,-5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
133,No_Shared_Feature_Condition_2,-0.566164076,-3,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
134,No_Shared_Feature_Condition_2,8.84299e-4,2.5,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
136,No_Shared_Feature_Condition_2,-0.242915763,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
143,Shared_Feature_Bag_Random_Condition_3,0.216733288,5.75,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
145,Shared_Feature_Bag_Location_Condition_1,0.753629995,6.75,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
148,Shared_Feature_Bag_Location_Condition_1,0.019939484,-0.75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
155,No_Shared_Feature_Condition_2,-0.673601816,-2,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
156,No_Shared_Feature_Condition_2,-0.172269094,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
157,No_Shared_Feature_Condition_2,-0.791531845,-2.5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
160,No_Shared_Feature_Condition_2,-0.425639388,-6.75,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
163,Shared_Feature_Bag_Random_Condition_3,0.059448619,-2,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
167,Shared_Feature_Bag_Random_Condition_3,0.684988833,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
168,Shared_Feature_Bag_Random_Condition_3,-0.032429447,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
170,Shared_Feature_Bag_Location_Condition_1,0.913213355,4.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
172,Shared_Feature_Bag_Location_Condition_1,0.11500773,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
173,Shared_Feature_Bag_Location_Condition_1,-0.054277129,-3.75,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
174,Shared_Feature_Bag_Location_Condition_1,-0.812080393,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
178,No_Shared_Feature_Condition_2,-0.752322351,5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
179,No_Shared_Feature_Condition_2,-0.254553581,-5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
182,No_Shared_Feature_Condition_2,-0.023008369,-4.75,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
185,Shared_Feature_Bag_Random_Condition_3,0.217449214,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
186,Shared_Feature_Bag_Random_Condition_3,-0.144173013,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
190,Shared_Feature_Bag_Random_Condition_3,-0.203451533,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
195,Shared_Feature_Bag_Location_Condition_1,0.308930738,5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
203,No_Shared_Feature_Condition_2,-0.226880097,-0.5,TRUE,FALSE,NA,TRUE,FALSE,FALSE,TRUE
204,No_Shared_Feature_Condition_2,0.034093981,5.5,TRUE,TRUE,NA,FALSE,TRUE,FALSE,FALSE
214,Shared_Feature_Bag_Random_Condition_3,-0.088349094,3.25,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
216,Shared_Feature_Bag_Random_Condition_3,-0.030531332,-3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
220,Shared_Feature_Bag_Location_Condition_1,0.387164392,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
224,Shared_Feature_Bag_Location_Condition_1,0.020088421,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
226,No_Shared_Feature_Condition_2,-0.32884029,-3.5,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
229,No_Shared_Feature_Condition_2,-0.577281844,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
232,No_Shared_Feature_Condition_2,0.512406183,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
237,Shared_Feature_Bag_Random_Condition_3,-0.008071505,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
239,Shared_Feature_Bag_Random_Condition_3,0.428316805,-2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
242,Shared_Feature_Bag_Location_Condition_1,0.064083832,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
245,Shared_Feature_Bag_Location_Condition_1,0.174476603,2.75,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
249,No_Shared_Feature_Condition_2,-0.018223213,2,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
250,No_Shared_Feature_Condition_2,0.629087195,3.5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
255,No_Shared_Feature_Condition_2,0.112678635,-2,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
256,No_Shared_Feature_Condition_2,-0.125845843,-2.75,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
258,Shared_Feature_Bag_Random_Condition_3,0.448190029,7.5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
260,Shared_Feature_Bag_Random_Condition_3,0.556830119,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
267,Shared_Feature_Bag_Location_Condition_1,0.544720268,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
278,No_Shared_Feature_Condition_2,-0.063422454,1.75,TRUE,FALSE,NA,FALSE,TRUE,FALSE,FALSE
280,No_Shared_Feature_Condition_2,-0.352581473,-1,TRUE,FALSE,NA,FALSE,TRUE,FALSE,FALSE
286,Shared_Feature_Bag_Random_Condition_3,-0.561734216,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
287,Shared_Feature_Bag_Random_Condition_3,-0.100880082,-3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
288,Shared_Feature_Bag_Random_Condition_3,-0.118517087,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
289,Shared_Feature_Bag_Location_Condition_1,0.757835787,4.25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
290,Shared_Feature_Bag_Location_Condition_1,-0.256290887,5.25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
294,Shared_Feature_Bag_Location_Condition_1,0.562725407,9.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
297,No_Shared_Feature_Condition_2,0.130929556,1.5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
299,No_Shared_Feature_Condition_2,-0.334023604,-6,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
307,Shared_Feature_Bag_Random_Condition_3,0.235592616,2.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
318,Shared_Feature_Bag_Location_Condition_1,0.361458854,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
325,No_Shared_Feature_Condition_2,-0.146326196,-6,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE
335,Shared_Feature_Bag_Random_Condition_3,0.194108759,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
339,Shared_Feature_Bag_Location_Condition_1,0.595795865,8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
341,Shared_Feature_Bag_Location_Condition_1,-0.5729817,-6.25,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
343,Shared_Feature_Bag_Location_Condition_1,-0.399233047,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
352,No_Shared_Feature_Condition_2,0.34698634,0.75,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
353,Shared_Feature_Bag_Random_Condition_3,0.706140464,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
354,Shared_Feature_Bag_Random_Condition_3,0.054837539,0.5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
357,Shared_Feature_Bag_Random_Condition_3,0.564213087,2.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
358,Shared_Feature_Bag_Random_Condition_3,-0.022473001,0.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
367,Shared_Feature_Bag_Location_Condition_1,0.120214048,-1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
372,No_Shared_Feature_Condition_2,-0.238156282,-0.5,TRUE,FALSE,NA,FALSE,FALSE,FALSE,TRUE
373,No_Shared_Feature_Condition_2,-0.75102897,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
375,No_Shared_Feature_Condition_2,0.074728026,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
377,Shared_Feature_Bag_Random_Condition_3,0.628989559,7.25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
379,Shared_Feature_Bag_Random_Condition_3,0.201918159,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
382,Shared_Feature_Bag_Random_Condition_3,-0.090140357,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
383,Shared_Feature_Bag_Random_Condition_3,0.506411702,4.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
384,Shared_Feature_Bag_Random_Condition_3,-0.202690003,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
391,Shared_Feature_Bag_Location_Condition_1,0.550942928,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
393,No_Shared_Feature_Condition_2,-0.736774854,-1.5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
407,Shared_Feature_Bag_Random_Condition_3,-0.366021553,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
408,Shared_Feature_Bag_Random_Condition_3,0.316450696,6,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
412,Shared_Feature_Bag_Location_Condition_1,0.209133888,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
416,Shared_Feature_Bag_Location_Condition_1,-0.217342338,6.25,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
419,No_Shared_Feature_Condition_2,0.070750792,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
422,No_Shared_Feature_Condition_2,-0.417009359,-2,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
431,Shared_Feature_Bag_Random_Condition_3,-0.390255497,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
434,Shared_Feature_Bag_Location_Condition_1,0.712451944,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
440,Shared_Feature_Bag_Location_Condition_1,-0.192764756,-0.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
443,No_Shared_Feature_Condition_2,0.020429511,0,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
444,No_Shared_Feature_Condition_2,-0.727074981,-0.5,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
445,No_Shared_Feature_Condition_2,-0.543226724,-6.5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
451,Shared_Feature_Bag_Random_Condition_3,0.875119777,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
454,Shared_Feature_Bag_Random_Condition_3,-0.181968972,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
456,Shared_Feature_Bag_Random_Condition_3,-0.150062129,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
457,Shared_Feature_Bag_Location_Condition_1,0.644665866,7.25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
458,Shared_Feature_Bag_Location_Condition_1,0.522151582,1.5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
462,Shared_Feature_Bag_Location_Condition_1,0.995029607,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
463,Shared_Feature_Bag_Location_Condition_1,-0.784492595,-7.5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
464,Shared_Feature_Bag_Location_Condition_1,0.47729542,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
466,No_Shared_Feature_Condition_2,0.116805534,-2.75,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
467,No_Shared_Feature_Condition_2,-0.704216103,-0.75,TRUE,TRUE,NA,FALSE,TRUE,FALSE,FALSE
470,No_Shared_Feature_Condition_2,0.347066617,3,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
478,Shared_Feature_Bag_Random_Condition_3,0.471704967,5.75,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
480,Shared_Feature_Bag_Random_Condition_3,0.062723993,1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
481,Shared_Feature_Bag_Location_Condition_1,0.845437329,6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
484,Shared_Feature_Bag_Location_Condition_1,0.403100812,1.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
490,No_Shared_Feature_Condition_2,-0.295195559,3,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE
493,No_Shared_Feature_Condition_2,0.066779605,5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
503,Shared_Feature_Bag_Random_Condition_3,-0.17819136,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
510,Shared_Feature_Bag_Location_Condition_1,0.450904998,8.75,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
514,No_Shared_Feature_Condition_2,-0.358617743,-2.5,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
515,No_Shared_Feature_Condition_2,-0.124409348,-6.25,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
