Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Evaluative_Measure_Order,Stimulus_Identity,IMPLICIT_MEASURES,EP_Morag_Score,EP_Struan_Score,Size_Matching,EP_Score,Reversed_EP_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EC_Effect_CS1_CS2_Difference_Score_Reversed,EXPLORATORY_QUESTIONS,Contingency_awareness_Size_CS_US_CS1,Contingency_awareness_Size_CS_US_CS2,Contingency_awareness_Size_CS_US_CS1_recoded,Contingency_awareness_Size_CS_US_CS2_recoded,Total_CS_Size_Contingency_Score,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2_recoded,Total_US_Contingency_Score,Hypothesis_Awareness,Influence_Awareness_response,Hypothesis_Awareness_recoded,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response
887,NA,18,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,33.90336134453787,11.986842105263122,CS2_Positive_CS1_Negative                                                                           ,21.91651923927475,-21.91651923927475,NA,I would try Morag                                                                                   ,NA,-1,-2,-1,-2,-2,-2,-2,-2,-1.5,-2,0.5,-0.5,NA,                                                                                                    ,                                                                                                    ,NA,NA,NA,                                                                                                    ,                                                                                                    ,NA,NA,NA,                                                                                                    ,                                                                                                    ,NA,NA,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    
1095,NA,27,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,20.91111111111104,81.85490196078433,CS2_Positive_CS1_Negative                                                                           ,-60.94379084967329,60.94379084967329,NA,I would try neither Brand                                                                           ,NA,-4,-4,-4,-4,-2,-3,-4,-3,-4,-3,-1,1,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,DIDNT REALIZED                                                                                      ,DIDNT REALIZE THE PATTERN                                                                           ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
104,NA,25,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,47.641025641025635,-111.79797979797979,CS2_Positive_CS1_Negative                                                                           ,159.43900543900543,-159.43900543900543,NA,I would try neither Brand                                                                           ,NA,0,0,1,0,1,0,0,0,0.25,0.25,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,Those two other words always have a negative meaning                                                ,Those two other words always have a negative meaning                                                ,0,0,0,No I did not notice                                                                                 ,No I do not think so.                                                                               ,0,0,0                                                                                                   ,1                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
572,NA,23,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,31.485294117647072,-16.68888888888887,CS2_Positive_CS1_Negative                                                                           ,48.17418300653594,-48.17418300653594,NA,I would try Struan                                                                                  ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,No                                                                                                  ,No                                                                                                  ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
52,NA,28,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-33.17105263157896,-52.5,CS2_Positive_CS1_Negative                                                                           ,19.32894736842104,-19.32894736842104,NA,I would try neither Brand                                                                           ,NA,2,2,2,2,-2,-2,-2,-2,2,-2,4,-4,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,Those two other words always have a negative meaning                                                ,1,0,1,I didn't notice.                                                                                    ,Somewhat                                                                                            ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
796,NA,34,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,78.47697368421052,-68.89915966386559,CS2_Positive_CS1_Negative                                                                           ,147.3761333480761,-147.3761333480761,NA,I would try neither Brand                                                                           ,NA,0,0,-1,0,0,0,0,0,-0.25,0,-0.25,0.25,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,I don't remember                                                                                    ,One word always have a positive meaning and the other a negative meaning                            ,0,1,1,"No, I didn't notice that.                                                                           ","No, I might have if the study was shorter but it was too long and I became bored.                   ",0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
680,NA,18,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-17.700000000000045,-22.0526315789474,CS2_Positive_CS1_Negative                                                                           ,4.352631578947353,-4.352631578947353,NA,I would try Morag                                                                                   ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,"No, I didn't consciously notice that                                                                ",No                                                                                                  ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
276,NA,21,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-86.29444444444448,-154.9394736842105,CS2_Positive_CS1_Negative                                                                           ,68.64502923976602,-68.64502923976602,NA,I would try Struan                                                                                  ,NA,-3,2,-2,-2,2,-2,1,2,-1.25,0.75,-2,2,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,Yes                                                                                                 ,I am not sure. I can't really say. Straun just looked like more of an appealing word to begin with. ,1,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
776,NA,33,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,5.166666666666686,-9.800000000000011,CS2_Positive_CS1_Negative                                                                           ,14.966666666666697,-14.966666666666697,NA,I would try Morag                                                                                   ,NA,2,2,2,2,-2,-2,-2,-1,2,-1.75,3.75,-3.75,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,"No, I did not notice.                                                                               ",I did not really notice.                                                                            ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
423,NA,32,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,126.85882352941172,-55.849999999999966,CS2_Positive_CS1_Negative                                                                           ,182.7088235294117,-182.7088235294117,NA,I would try Struan                                                                                  ,NA,0,3,0,0,0,0,0,0,0.75,0,0.75,-0.75,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,No.                                                                                                 ,I think it might have influenced me in the quick E and I possitive and negative game                ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
383,NA,31,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,3.5722222222221944,-67.59150326797385,CS2_Positive_CS1_Negative                                                                           ,71.16372549019604,-71.16372549019604,NA,I would try neither Brand                                                                           ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,I did not notice this.                                                                              ,It did not influence me                                                                             ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
388,NA,26,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-0.4500000000000455,-10.410526315789525,CS2_Positive_CS1_Negative                                                                           ,9.96052631578948,-9.96052631578948,NA,I would try Morag                                                                                   ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,No I did not notice that during the study.                                                          ,It is possible. It was hard for me to notice that pattern.                                          ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
727,NA,38,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,58.98888888888894,15.202631578947376,CS2_Positive_CS1_Negative                                                                           ,43.78625730994156,-43.78625730994156,NA,I would try Struan                                                                                  ,NA,-1,-1,-1,-1,0,0,0,0,-1,0,-1,1,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,I don't remember                                                                                    ,1,0,1,no                                                                                                  ,maybe                                                                                               ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
119,NA,24,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-60.400000000000034,-37.423529411764775,CS2_Positive_CS1_Negative                                                                           ,-22.97647058823526,22.97647058823526,NA,I would try Morag                                                                                   ,NA,-1,4,-1,-1,-4,-1,-4,-1,0.25,-2.5,2.75,-2.75,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,No                                                                                                  ,no                                                                                                  ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
