subject,ep_mean_rt_consistent,ep_mean_rt_inconsistent,ep_mean_rt_difference
12,672,663,-9
14,528,536,8
16,579,597,18
19,662,619,-43
28,635,695,60
29,333,359,26
39,585,611,26
45,606,641,35
46,782,777,-5
47,514,507,-7
48,632,626,-6
50,525,552,27
51,719,719,0
52,607,616,9
56,409,421,12
57,631,581,-50
62,605,617,12
63,766,810,44
68,586,583,-3
70,629,634,5
72,678,630,-48
73,610,643,33
77,658,688,30
78,529,537,8
80,519,472,-47
91,608,610,2
93,704,727,23
94,476,483,7
96,794,747,-47
97,561,543,-18
99,657,638,-19
100,644,646,2
101,661,687,26
102,597,579,-18
103,540,517,-23
104,603,684,81
107,620,626,6
108,818,781,-37
109,524,525,1
110,615,635,20
111,711,717,6
114,597,587,-10
115,497,523,26
116,561,559,-2
118,523,528,5
119,523,509,-14
120,645,658,13
123,558,538,-20
124,596,548,-48
127,590,607,17
128,621,606,-15
129,590,604,14
132,544,566,22
134,699,700,1
135,615,636,21
136,564,603,39
141,595,621,26
148,511,524,13
149,594,574,-20
150,677,615,-62
152,490,473,-17
154,543,522,-21
159,543,548,5
161,578,566,-12
163,564,573,9
166,542,560,18
168,617,618,1
169,497,499,2
171,665,685,20
173,577,585,8
176,710,682,-28
180,707,715,8
184,529,544,15
186,559,586,27
190,578,549,-29
191,540,535,-5
200,571,561,-10
205,713,670,-43
208,605,618,13
209,637,643,6
210,735,786,51
218,597,585,-12
220,556,506,-50
221,577,561,-16
223,551,589,38
234,493,501,8
236,692,745,53
243,642,581,-61
246,576,560,-16
248,726,732,6
249,532,563,31
253,584,602,18
254,548,573,25
255,579,565,-14
257,587,614,27
258,591,612,21
259,576,658,82
260,582,625,43
262,489,510,21
264,591,634,43
269,557,596,39
274,443,458,15
275,685,704,19
276,557,592,35
281,682,681,-1
282,532,559,27
283,458,479,21
286,497,500,3
287,566,604,38
288,509,509,0
293,665,646,-19
304,729,771,42
307,685,674,-11
308,686,623,-63
311,523,487,-36
313,703,635,-68
317,621,607,-14
318,593,671,78
319,662,674,12
321,547,539,-8
323,647,657,10
324,673,683,10
325,606,664,58
326,577,528,-49
331,619,655,36
335,769,741,-28
336,582,571,-11
337,636,616,-20
338,577,578,1
339,513,520,7
341,601,611,10
343,624,653,29
345,671,711,40
346,471,476,5
349,586,578,-8
350,629,592,-37
354,504,497,-7
357,518,523,5
358,653,630,-23
359,530,530,0
362,535,591,56
363,592,587,-5
368,612,597,-15
369,564,544,-20
372,753,708,-45
373,537,536,-1
374,612,680,68
375,544,544,0
376,726,689,-37
381,743,775,32
383,595,631,36
385,495,521,26
388,580,585,5
390,521,494,-27
391,655,672,17
393,702,710,8
394,554,578,24
395,504,520,16
399,567,569,2
400,579,576,-3
401,560,543,-17
404,563,570,7
408,657,701,44
409,568,590,22
417,603,604,1
422,571,581,10
423,485,573,88
425,636,623,-13
427,564,547,-17
428,636,638,2
432,529,507,-22
433,670,698,28
434,558,569,11
436,511,539,28
440,639,705,66
441,672,675,3
443,563,579,16
444,547,566,19
445,548,522,-26
449,654,635,-19
451,556,602,46
452,541,553,12
453,696,675,-21
454,665,642,-23
455,606,582,-24
456,564,565,1
460,569,612,43
461,462,492,30
462,624,582,-42
463,608,616,8
464,585,563,-22
466,602,620,18
467,590,615,25
470,623,651,28
471,616,574,-42
473,669,668,-1
478,663,650,-13
482,637,631,-6
483,610,644,34
484,556,554,-2
486,642,626,-16
487,631,575,-56
498,546,534,-12
499,689,716,27
504,611,599,-12
506,684,735,51
507,492,497,5
510,515,509,-6
512,569,548,-21
514,625,617,-8
515,525,543,18
519,558,540,-18
520,580,557,-23
522,612,607,-5
523,492,532,40
525,578,635,57
527,533,537,4
528,573,538,-35
529,506,505,-1
530,699,701,2
532,484,512,28
537,578,556,-22
540,447,481,34
551,582,574,-8
552,613,612,-1
555,593,580,-13
558,651,615,-36
559,632,621,-11
560,658,676,18
561,556,556,0
562,567,510,-57
563,524,460,-64
564,580,594,14
567,599,635,36
568,568,540,-28
571,676,684,8
572,670,694,24
574,533,518,-15
580,652,637,-15
583,593,592,-1
586,714,729,15
588,567,565,-2
589,658,624,-34
591,523,513,-10
594,612,623,11
598,503,511,8
599,720,687,-33
602,571,559,-12
607,707,710,3
611,814,800,-14
613,581,623,42
627,569,632,63
630,486,502,16
633,471,457,-14
634,602,633,31
635,587,542,-45
637,545,495,-50
639,678,643,-35
642,699,694,-5
643,559,548,-11
645,711,714,3
648,579,584,5
649,674,622,-52
650,634,614,-20
651,582,581,-1
653,712,698,-14
655,519,501,-18
661,603,622,19
668,580,529,-51
669,666,697,31
670,711,687,-24
673,548,569,21
675,674,695,21
677,462,465,3
680,624,625,1
681,506,528,22
684,572,695,123
690,683,665,-18
691,587,576,-11
693,793,723,-70
695,653,667,14
696,475,463,-12
701,575,554,-21
702,533,591,58
706,627,695,68
707,689,719,30
708,524,538,14
722,584,531,-53
724,532,530,-2
727,530,552,22
729,606,608,2
738,429,431,2
744,555,588,33
746,649,663,14
747,642,690,48
749,694,700,6
752,520,552,32
753,528,546,18
757,505,498,-7
758,674,677,3
759,417,435,18
763,572,539,-33
767,604,616,12
769,543,548,5
770,766,761,-5
771,667,660,-7
775,569,610,41
776,450,457,7
778,553,564,11
779,690,793,103
780,545,532,-13
782,520,508,-12
783,508,518,10
786,588,603,15
787,586,627,41
789,642,670,28
790,550,530,-20
791,512,533,21
792,538,552,14
796,620,694,74
800,683,686,3
801,533,544,11
804,537,594,57
805,619,627,8
806,553,529,-24
807,534,582,48
808,491,489,-2
810,604,597,-7
811,555,528,-27
812,659,666,7
813,621,680,59
821,636,626,-10
822,718,711,-7
828,592,580,-12
829,654,594,-60
830,580,594,14
834,431,437,6
838,474,446,-28
839,505,524,19
841,521,520,-1
842,595,596,1
843,628,625,-3
845,541,559,18
847,558,531,-27
848,729,694,-35
851,525,531,6
855,497,522,25
859,507,518,11
860,628,665,37
862,480,452,-28
864,625,606,-19
868,611,617,6
870,547,595,48
876,557,554,-3
877,637,582,-55
878,491,528,37
880,735,736,1
881,722,830,108
883,525,558,33
884,547,538,-9
886,575,592,17
887,677,686,9
890,552,504,-48
893,471,472,1
894,582,586,4
896,597,565,-32
901,786,781,-5
903,555,587,32
904,481,490,9
905,668,725,57
907,396,470,74
908,629,627,-2
909,617,645,28
911,508,533,25
913,657,660,3
915,634,649,15
919,607,637,30
921,620,604,-16
923,621,602,-19
931,506,522,16
937,527,561,34
938,576,574,-2
942,692,707,15
943,474,510,36
947,576,576,0
948,584,546,-38
949,623,607,-16
951,634,577,-57
954,547,571,24
957,570,565,-5
958,608,562,-46
959,543,516,-27
961,636,654,18
966,692,716,24
969,581,640,59
970,592,613,21
971,520,477,-43
980,495,519,24
983,548,553,5
988,544,555,11
989,476,386,-90
990,717,708,-9
992,661,646,-15
994,577,601,24
995,528,555,27
996,739,687,-52
1004,617,592,-25
1007,810,793,-17
1013,601,626,25
1018,469,469,0
1021,641,655,14
1025,619,622,3
1027,573,607,34
1028,478,478,0
1030,577,568,-9
1031,583,614,31
1034,662,705,43
1037,598,561,-37
1038,470,468,-2
1041,611,609,-2
1043,658,647,-11
1045,481,497,16
1047,669,618,-51
1052,427,409,-18
1057,650,629,-21
1058,563,554,-9
1063,552,555,3
1069,571,595,24
1075,483,473,-10
1078,537,581,44
1083,538,527,-11
1084,671,734,63
1089,472,466,-6
1090,670,680,10
1093,586,614,28
1095,709,679,-30
1097,634,648,14
1098,534,510,-24
1102,510,502,-8
1104,612,601,-11
1105,570,606,36
1107,572,524,-48
1112,539,565,26
1118,577,566,-11
1119,792,702,-90
1126,587,599,12
1131,581,604,23
1132,438,443,5
1136,595,575,-20
1138,598,598,0
1144,590,584,-6
1145,587,597,10
1149,579,581,2
1156,638,657,19
1157,532,555,23
1162,838,810,-28
1165,483,569,86
1174,496,551,55
1175,546,539,-7
1178,535,540,5
1180,776,739,-37
1184,497,499,2
1188,649,636,-13
1191,673,691,18
1195,519,502,-17
1197,419,422,3
1199,594,626,32
1201,591,534,-57
1210,696,725,29
1211,458,476,18
1212,688,736,48
1213,618,590,-28
1215,611,573,-38
1216,698,710,12
1217,510,558,48
1222,487,480,-7
1226,594,632,38
1230,661,653,-8
1237,525,557,32
1238,662,639,-23
1240,848,888,40
1242,566,578,12
1244,526,535,9
1245,521,549,28
1246,585,554,-31
1249,428,434,6
1250,460,486,26
1253,687,708,21
1254,564,557,-7
1257,640,617,-23
1258,665,641,-24
1259,570,556,-14
1260,641,668,27
